"Geography code","LA code","LA name","Region code","Region name","Net Total Expenditure (x1000)","Gross Total Expenditure (x1000)","Gross Current Expenditure (x1000)","Support provided to carers during the year","Social care-related quality of life score (All)","Social care-related quality of life score (Male)","Social care-related quality of life score (Female)","age_group","Number of requests for support received from new clients","New clients with an episode of ST-Max care and a known sequel","Long Term Support during the year","Social care-related quality of life score"
"E08000002",305,"Bury","E12000002","North West",59034,70046,69926,890,19.1,19.6,18.8,"18 to 64",1315,75.0,1205.0,19.5
"E08000002",305,"Bury","E12000002","North West",59034,70046,69926,890,19.1,19.6,18.8,"65 and over",3580,850.0,2275.0,18.9
"E08000003",306,"Manchester","E12000002","North West",158371,181543,180590,2350,17.8,17.9,17.7,"18 to 64",10720,235.0,5065.0,17.7
"E08000003",306,"Manchester","E12000002","North West",158371,181543,180590,2350,17.8,17.9,17.7,"65 and over",11270,1390.0,5150.0,17.8
"E08000004",307,"Oldham","E12000002","North West",60825,75901,75311,2195,18.9,19.9,18.3,"18 to 64",2630,50.0,1460.0,19.6
"E08000004",307,"Oldham","E12000002","North West",60825,75901,75311,2195,18.9,19.9,18.3,"65 and over",4485,665.0,2740.0,18.3
"E08000005",308,"Rochdale","E12000002","North West",56438,69890,65556,4760,19.2,19.6,18.9,"18 to 64",2895,145.0,1170.0,19.2
"E08000005",308,"Rochdale","E12000002","North West",56438,69890,65556,4760,19.2,19.6,18.9,"65 and over",4670,960.0,1675.0,19.2
"E08000006",309,"Salford","E12000002","North West",61321,75182,72053,2920,18.7,18.7,18.7,"18 to 64",3985,90.0,2205.0,18.3
"E08000006",309,"Salford","E12000002","North West",61321,75182,72053,2920,18.7,18.7,18.7,"65 and over",5745,790.0,3160.0,19.0
"E08000007",310,"Stockport","E12000002","North West",83140,101179,100850,2545,18.6,18.9,18.3,"18 to 64",800,225.0,2405.0,19.3
"E08000007",310,"Stockport","E12000002","North West",83140,101179,100850,2545,18.6,18.9,18.3,"65 and over",4615,2075.0,4215.0,18.1
"E08000008",311,"Tameside","E12000002","North West",43883,60086,60086,1025,18.8,19.1,18.6,"18 to 64",1495,735.0,1015.0,19.6
"E08000008",311,"Tameside","E12000002","North West",43883,60086,60086,1025,18.8,19.1,18.6,"65 and over",5680,3735.0,2675.0,18.4
"E08000009",312,"Trafford","E12000002","North West",54694,66086,65658,1145,18.6,19.2,18.2,"18 to 64",3440,65.0,950.0,19.5
"E08000009",312,"Trafford","E12000002","North West",54694,66086,65658,1145,18.6,19.2,18.2,"65 and over",8880,770.0,2340.0,18.1
"E08000010",313,"Wigan","E12000002","North West",86867,105039,103998,1415,18.9,19.2,18.7,"18 to 64",3120,125.0,1810.0,19.5
"E08000010",313,"Wigan","E12000002","North West",86867,105039,103998,1415,18.9,19.2,18.7,"65 and over",7520,1005.0,3270.0,18.6
"E08000011",315,"Knowsley","E12000002","North West",53326,65054,64350,2710,19.5,19.6,19.5,"18 to 64",1255,30.0,1140.0,20.2
"E08000011",315,"Knowsley","E12000002","North West",53326,65054,64350,2710,19.5,19.6,19.5,"65 and over",2425,195.0,2200.0,19.0
"E08000012",316,"Liverpool","E12000002","North West",166451,192628,189444,2850,19.2,19.6,18.9,"18 to 64",4530,225.0,3205.0,19.7
"E08000012",316,"Liverpool","E12000002","North West",166451,192628,189444,2850,19.2,19.6,18.9,"65 and over",6525,1795.0,6145.0,18.9
"E08000014",317,"Sefton","E12000002","North West",93751,114134,113528,1575,19.6,19.7,19.5,"18 to 64",3670,100.0,1905.0,19.6
"E08000014",317,"Sefton","E12000002","North West",93751,114134,113528,1575,19.6,19.7,19.5,"65 and over",7260,1030.0,3960.0,19.6
"E08000013",318,"St. Helens","E12000002","North West",50623,62413,62238,2300,19.3,19.8,19.0,"18 to 64",3920,45.0,1225.0,19.7
"E08000013",318,"St. Helens","E12000002","North West",50623,62413,62238,2300,19.3,19.8,19.0,"65 and over",6670,525.0,3190.0,19.1
"E08000015",319,"Wirral","E12000002","North West",89729,110603,110041,815,19.0,19.3,18.9,"18 to 64",2895,265.0,1380.0,18.9
"E08000015",319,"Wirral","E12000002","North West",89729,110603,110041,815,19.0,19.3,18.9,"65 and over",8240,2805.0,3405.0,19.1
"E06000006",321,"Halton","E12000002","North West",44973,54336,54092,625,19.6,19.6,19.6,"18 to 64",475,55.0,950.0,20.1
"E06000006",321,"Halton","E12000002","North West",44973,54336,54092,625,19.6,19.6,19.6,"65 and over",1955,550.0,1310.0,19.1
"E06000007",322,"Warrington","E12000002","North West",63898,77877,77877,4540,18.7,19.4,18.3,"18 to 64",2775,710.0,1125.0,19.0
"E06000007",322,"Warrington","E12000002","North West",63898,77877,77877,4540,18.7,19.4,18.3,"65 and over",6315,615.0,2300.0,18.6
"E10000017",323,"Lancashire","E12000002","North West",401922,490695,488889,12510,19.1,19.1,19.0,"18 to 64",9375,620.0,7610.0,19.3
"E10000017",323,"Lancashire","E12000002","North West",401922,490695,488889,12510,19.1,19.1,19.0,"65 and over",26350,5400.0,15035.0,18.9
"E06000008",324,"Blackburn with Darwen","E12000002","North West",48312,56759,56830,380,19.4,19.3,19.5,"18 to 64",2160,70.0,1010.0,19.8
"E06000008",324,"Blackburn with Darwen","E12000002","North West",48312,56759,56830,380,19.4,19.3,19.5,"65 and over",3525,465.0,1740.0,19.2
"E06000009",325,"Blackpool","E12000002","North West",53263,70395,69999,1300,19.5,19.8,19.3,"18 to 64",1765,220.0,1075.0,19.7
"E06000009",325,"Blackpool","E12000002","North West",53263,70395,69999,1300,19.5,19.8,19.3,"65 and over",3970,1050.0,2530.0,19.4
"E06000049",326,"Cheshire East","E12000002","North West",122866,145497,145492,1740,19.4,19.9,19.1,"18 to 64",5295,2370.0,1685.0,20.2
"E06000049",326,"Cheshire East","E12000002","North West",122866,145497,145492,1740,19.4,19.9,19.1,"65 and over",10925,1520.0,3715.0,19.0
"E06000050",327,"Cheshire West and Chester","E12000002","North West",92506,110356,109447,1355,19.4,19.7,19.2,"18 to 64",1645,80.0,1940.0,20.2
"E06000050",327,"Cheshire West and Chester","E12000002","North West",92506,110356,109447,1355,19.4,19.7,19.2,"65 and over",6210,715.0,3845.0,18.8
"E10000031",404,"Warwickshire","E12000005","West Midlands",139844,176776,176107,3660,19.1,19.6,18.8,"18 to 64",1555,85.0,2435.0,20.0
"E10000031",404,"Warwickshire","E12000005","West Midlands",139844,176776,176107,3660,19.1,19.6,18.8,"65 and over",6385,985.0,6135.0,18.7
"E08000025",406,"Birmingham","E12000005","West Midlands",311937,362819,359999,4015,18.7,19.2,18.4,"18 to 64",12565,135.0,5120.0,19.1
"E08000025",406,"Birmingham","E12000005","West Midlands",311937,362819,359999,4015,18.7,19.2,18.4,"65 and over",22280,680.0,11490.0,18.5
"E08000026",407,"Coventry","E12000005","West Midlands",87954,100886,98884,1585,19.1,19.8,18.7,"18 to 64",3705,125.0,1350.0,19.7
"E08000026",407,"Coventry","E12000005","West Midlands",87954,100886,98884,1585,19.1,19.8,18.7,"65 and over",6660,1495.0,2980.0,18.8
"E08000027",408,"Dudley","E12000005","West Midlands",93647,109570,108707,1295,19.4,19.7,19.2,"18 to 64",4450,95.0,1575.0,20.2
"E08000027",408,"Dudley","E12000005","West Midlands",93647,109570,108707,1295,19.4,19.7,19.2,"65 and over",14035,1140.0,3440.0,19.0
"E08000028",409,"Sandwell","E12000005","West Midlands",89925,105544,104575,835,19.6,20.1,19.2,"18 to 64",1550,200.0,1435.0,20.4
"E08000028",409,"Sandwell","E12000005","West Midlands",89925,105544,104575,835,19.6,20.1,19.2,"65 and over",5175,1550.0,3470.0,19.2
"E08000029",410,"Solihull","E12000005","West Midlands",58845,70850,70850,1495,18.7,19.0,18.6,"18 to 64",1075,20.0,995.0,19.1
"E08000029",410,"Solihull","E12000005","West Midlands",58845,70850,70850,1495,18.7,19.0,18.6,"65 and over",4000,595.0,1945.0,18.6
"E08000030",411,"Walsall","E12000005","West Midlands",68252,79358,79153,595,18.8,19.6,18.3,"18 to 64",2070,70.0,1045.0,19.6
"E08000030",411,"Walsall","E12000005","West Midlands",68252,79358,79153,595,18.8,19.6,18.3,"65 and over",7735,1035.0,2615.0,18.5
"E08000031",412,"Wolverhampton","E12000005","West Midlands",77210,94159,93096,5545,19.2,19.8,18.9,"18 to 64",1915,25.0,1345.0,20.2
"E08000031",412,"Wolverhampton","E12000005","West Midlands",77210,94159,93096,5545,19.2,19.8,18.9,"65 and over",3770,270.0,3205.0,18.7
"E10000028",413,"Staffordshire","E12000005","West Midlands",221803,278094,278094,5165,19.1,19.5,18.8,"18 to 64",5255,410.0,4640.0,19.5
"E10000028",413,"Staffordshire","E12000005","West Midlands",221803,278094,278094,5165,19.1,19.5,18.8,"65 and over",16675,1330.0,9000.0,18.8
"E06000021",414,"Stoke-on-Trent","E12000005","West Midlands",82347,97528,96871,740,19.6,19.8,19.5,"18 to 64",2255,25.0,1225.0,20.4
"E06000021",414,"Stoke-on-Trent","E12000005","West Midlands",82347,97528,96871,740,19.6,19.8,19.5,"65 and over",3745,160.0,3050.0,19.2
"E06000019",415,"Herefordshire, County of","E12000005","West Midlands",61483,72184,71710,545,19.8,20.2,19.6,"18 to 64",980,35.0,1010.0,20.4
"E06000019",415,"Herefordshire, County of","E12000005","West Midlands",61483,72184,71710,545,19.8,20.2,19.6,"65 and over",4945,495.0,2035.0,19.5
"E10000034",416,"Worcestershire","E12000005","West Midlands",162651,187926,187926,1920,18.9,19.2,18.6,"18 to 64",5855,95.0,2635.0,19.6
"E10000034",416,"Worcestershire","E12000005","West Midlands",162651,187926,187926,1920,18.9,19.2,18.6,"65 and over",23455,1650.0,5655.0,18.4
"E06000051",417,"Shropshire","E12000005","West Midlands",103193,121384,120713,195,19.5,19.8,19.4,"18 to 64",1055,55.0,1260.0,20.1
"E06000051",417,"Shropshire","E12000005","West Midlands",103193,121384,120713,195,19.5,19.8,19.4,"65 and over",3490,1015.0,3145.0,19.2
"E06000020",418,"Telford and Wrekin","E12000005","West Midlands",49267,55988,55925,920,19.0,18.9,19.1,"18 to 64",1200,55.0,795.0,19.6
"E06000020",418,"Telford and Wrekin","E12000005","West Midlands",49267,55988,55925,920,19.0,18.9,19.1,"65 and over",2535,625.0,1425.0,18.6
"E10000019",503,"Lincolnshire","E12000004","East Midlands",163405,205564,204915,10325,19.3,20.0,18.8,"18 to 64",8045,200.0,3615.0,19.8
"E10000019",503,"Lincolnshire","E12000004","East Midlands",163405,205564,204915,10325,19.3,20.0,18.8,"65 and over",24145,2465.0,8100.0,19.0
"E10000021",504,"Northamptonshire","E12000004","East Midlands",189152,226139,218193,3030,19.3,19.6,19.0,"18 to 64",2460,225.0,3460.0,19.8
"E10000021",504,"Northamptonshire","E12000004","East Midlands",189152,226139,218193,3030,19.3,19.6,19.0,"65 and over",9615,2815.0,6165.0,18.9
"E10000007",506,"Derbyshire","E12000004","East Midlands",248427,294161,288710,7415,19.3,19.6,19.1,"18 to 64",12640,725.0,3475.0,19.9
"E10000007",506,"Derbyshire","E12000004","East Midlands",248427,294161,288710,7415,19.3,19.6,19.1,"65 and over",39805,3090.0,8350.0,19.0
"E06000015",507,"Derby","E12000004","East Midlands",66910,78322,78322,1255,19.0,19.1,18.9,"18 to 64",3390,80.0,1625.0,19.8
"E06000015",507,"Derby","E12000004","East Midlands",66910,78322,78322,1255,19.0,19.1,18.9,"65 and over",6510,965.0,2820.0,18.3
"E10000018",508,"Leicestershire","E12000004","East Midlands",154769,193729,189494,3855,18.6,19.3,18.2,"18 to 64",5790,185.0,3110.0,19.2
"E10000018",508,"Leicestershire","E12000004","East Midlands",154769,193729,189494,3855,18.6,19.3,18.2,"65 and over",20080,3145.0,6515.0,18.2
"E06000016",509,"Leicester","E12000004","East Midlands",104269,120436,118729,1095,18.8,19.4,18.3,"18 to 64",5755,415.0,2345.0,18.7
"E06000016",509,"Leicester","E12000004","East Midlands",104269,120436,118729,1095,18.8,19.4,18.3,"65 and over",8595,1030.0,3700.0,18.8
"E06000017",510,"Rutland","E12000004","East Midlands",11690,13357,13357,215,20.1,20.1,20.1,"18 to 64",280,5.0,130.0,20.6
"E06000017",510,"Rutland","E12000004","East Midlands",11690,13357,13357,215,20.1,20.1,20.1,"65 and over",1440,255.0,330.0,19.8
"E10000024",511,"Nottinghamshire","E12000004","East Midlands",246018,285638,284043,6185,19.1,19.6,18.8,"18 to 64",5825,1200.0,4385.0,19.1
"E10000024",511,"Nottinghamshire","E12000004","East Midlands",246018,285638,284043,6185,19.1,19.6,18.8,"65 and over",23035,4430.0,7925.0,19.1
"E06000018",512,"Nottingham","E12000004","East Midlands",111901,130454,130253,2455,18.9,19.1,18.7,"18 to 64",6565,130.0,2495.0,18.9
"E06000018",512,"Nottingham","E12000004","East Midlands",111901,130454,130253,2455,18.9,19.1,18.7,"65 and over",6870,885.0,3620.0,18.9
"E10000015",606,"Hertfordshire","E12000006","East of England",355363,409869,408154,4535,19.4,20.1,18.9,"18 to 64",6055,210.0,5165.0,20.3
"E10000015",606,"Hertfordshire","E12000006","East of England",355363,409869,408154,4535,19.4,20.1,18.9,"65 and over",20335,2920.0,9390.0,18.7
"E10000020",607,"Norfolk","E12000006","East of England",312903,372550,354342,4075,18.9,19.1,18.8,"18 to 64",9770,350.0,5270.0,19.1
"E10000020",607,"Norfolk","E12000006","East of England",312903,372550,354342,4075,18.9,19.1,18.8,"65 and over",28485,5810.0,9425.0,18.8
"E10000025",608,"Oxfordshire","E12000008","South East",191539,225812,225812,4105,19.2,19.5,19.0,"18 to 64",2635,200.0,2655.0,19.9
"E10000025",608,"Oxfordshire","E12000008","South East",191539,225812,225812,4105,19.2,19.5,19.0,"65 and over",11480,2285.0,5190.0,18.8
"E10000029",609,"Suffolk","E12000006","East of England",244272,280623,279023,2545,19.4,19.6,19.4,"18 to 64",11460,860.0,3795.0,19.7
"E10000029",609,"Suffolk","E12000006","East of England",244272,280623,279023,2545,19.4,19.6,19.4,"65 and over",28450,3370.0,8670.0,19.3
"E06000032",611,"Luton","E12000006","East of England",60815,69402,69152,1070,19.0,19.3,18.7,"18 to 64",1345,60.0,1320.0,19.3
"E06000032",611,"Luton","E12000006","East of England",60815,69402,69152,1070,19.0,19.3,18.7,"65 and over",3185,620.0,2095.0,18.8
"E10000002",612,"Buckinghamshire","E12000008","South East",145201,169377,167558,925,19.0,19.5,18.6,"18 to 64",2300,35.0,2290.0,20.1
"E10000002",612,"Buckinghamshire","E12000008","South East",145201,169377,167558,925,19.0,19.5,18.6,"65 and over",8380,460.0,3750.0,18.2
"E06000042",613,"Milton Keynes","E12000008","South East",63951,72530,72354,3945,18.6,19.1,18.3,"18 to 64",1860,85.0,955.0,20.0
"E06000042",613,"Milton Keynes","E12000008","South East",63951,72530,72354,3945,18.6,19.1,18.3,"65 and over",3895,660.0,1530.0,17.5
"E06000036",614,"Bracknell Forest","E12000008","South East",32234,36974,36361,300,19.1,19.4,18.8,"18 to 64",375,55.0,480.0,19.2
"E06000036",614,"Bracknell Forest","E12000008","South East",32234,36974,36361,300,19.1,19.4,18.8,"65 and over",1760,380.0,760.0,19.0
"E06000037",615,"West Berkshire","E12000008","South East",49198,59369,59176,1140,19.3,19.3,19.3,"18 to 64",1065,45.0,740.0,19.7
"E06000037",615,"West Berkshire","E12000008","South East",49198,59369,59176,1140,19.3,19.3,19.3,"65 and over",2965,585.0,1375.0,19.0
"E06000038",616,"Reading","E12000008","South East",43875,50886,50374,635,18.9,19.7,18.3,"18 to 64",1210,80.0,860.0,19.4
"E06000038",616,"Reading","E12000008","South East",43875,50886,50374,635,18.9,19.7,18.3,"65 and over",2420,505.0,1165.0,18.5
"E06000039",617,"Slough","E12000008","South East",39060,42176,39695,655,19.0,19.7,18.4,"18 to 64",670,125.0,690.0,19.4
"E06000039",617,"Slough","E12000008","South East",39060,42176,39695,655,19.0,19.7,18.4,"65 and over",1565,620.0,915.0,18.5
"E06000040",618,"Windsor and Maidenhead","E12000008","South East",39412,46424,45927,630,18.9,18.9,19.0,"18 to 64",595,30.0,580.0,19.2
"E06000040",618,"Windsor and Maidenhead","E12000008","South East",39412,46424,45927,630,18.9,18.9,19.0,"65 and over",2905,385.0,1140.0,18.8
"E06000041",619,"Wokingham","E12000008","South East",47398,53292,53261,565,19.1,19.3,18.9,"18 to 64",1105,20.0,795.0,19.2
"E06000041",619,"Wokingham","E12000008","South East",47398,53292,53261,565,19.1,19.3,18.9,"65 and over",3235,285.0,1060.0,18.9
"E10000012",620,"Essex","E12000006","East of England",466907,552955,549197,4050,19.3,20.3,18.7,"18 to 64",9425,2880.0,7575.0,19.8
"E10000012",620,"Essex","E12000006","East of England",466907,552955,549197,4050,19.3,20.3,18.7,"65 and over",24165,5790.0,14195.0,19.0
"E06000033",621,"Southend-on-Sea","E12000006","East of England",41952,52799,52463,1205,19.3,19.8,19.0,"18 to 64",2920,585.0,1700.0,20.0
"E06000033",621,"Southend-on-Sea","E12000006","East of England",41952,52799,52463,1205,19.3,19.8,19.0,"65 and over",5990,1295.0,2370.0,19.0
"E06000034",622,"Thurrock","E12000006","East of England",37143,44697,44643,605,19.2,19.3,19.1,"18 to 64",1785,30.0,705.0,19.6
"E06000034",622,"Thurrock","E12000006","East of England",37143,44697,44643,605,19.2,19.3,19.1,"65 and over",4180,225.0,1545.0,19.0
"E10000003",623,"Cambridgeshire","E12000006","East of England",160166,182261,182261,2935,19.7,20.2,19.3,"18 to 64",3145,135.0,2550.0,20.1
"E10000003",623,"Cambridgeshire","E12000006","East of England",160166,182261,182261,2935,19.7,20.2,19.3,"65 and over",13030,2485.0,4900.0,19.4
"E06000031",624,"Peterborough","E12000006","East of England",44805,50670,49993,1185,19.4,19.0,19.7,"18 to 64",935,65.0,1025.0,19.9
"E06000031",624,"Peterborough","E12000006","East of England",44805,50670,49993,1185,19.4,19.0,19.7,"65 and over",2545,605.0,1900.0,19.1
"E06000055",625,"Bedford","E12000006","East of England",57577,67287,67287,370,19.0,19.2,18.9,"18 to 64",470,30.0,1305.0,19.0
"E06000055",625,"Bedford","E12000006","East of England",57577,67287,67287,370,19.0,19.2,18.9,"65 and over",1295,300.0,2390.0,19.0
"E06000056",626,"Central Bedfordshire","E12000006","East of England",89649,102769,101143,1625,19.2,19.4,19.0,"18 to 64",1375,25.0,1195.0,19.6
